BuildingType,PrimaryPropertyType,City,State,ZipCode,CouncilDistrictCode,Neighborhood,Latitude,Longitude,YearBuilt,NumberofFloors,PropertyGFABuilding(s),Electricity(kWh)
NonResidential,Hotel,Seattle,WA,98101.0,7,DOWNTOWN,47.6122,-122.33799,1927,12,88434,1156514.25
NonResidential,Hotel,Seattle,WA,98101.0,7,DOWNTOWN,47.61317,-122.33393,1996,11,88502,950425.1875
NonResidential,Hotel,Seattle,WA,98101.0,7,DOWNTOWN,47.61393,-122.3381,1969,41,759392,14515435.0
NonResidential,Hotel,Seattle,WA,98101.0,7,DOWNTOWN,47.61412,-122.33664,1926,10,61320,811525.3125
NonResidential,Hotel,Seattle,WA,98121.0,7,DOWNTOWN,47.61375,-122.34047,1980,18,113580,1573448.625
Nonresidential COS,Other,Seattle,WA,98101.0,7,DOWNTOWN,47.61623,-122.33657,1999,2,60090,2160443.75
NonResidential,Hotel,Seattle,WA,98101.0,7,DOWNTOWN,47.6139,-122.33283,1926,11,83008,823919.875
NonResidential,Other,Seattle,WA,98101.0,7,DOWNTOWN,47.61327,-122.33136,1926,8,102761,1065842.75
NonResidential,Hotel,Seattle,WA,98104.0,7,DOWNTOWN,47.60294,-122.33263,1904,15,163984,2138897.75
Multifamily MR (5-9),Mid-Rise Multifamily,Seattle,WA,98104.0,7,DOWNTOWN,47.60284,-122.33184,1910,6,62216,742091.1875
NonResidential,Hotel,Seattle,WA,98101.0,7,DOWNTOWN,47.60695,-122.33414,1969,11,133884,1813489.875
NonResidential,Hotel,Seattle,WA,98101.0,7,DOWNTOWN,47.60713,-122.33323,1998,25,272015,5299838.5
NonResidential,Hotel,Seattle,WA,98104.0,7,DOWNTOWN,47.60699,-122.33346,1928,9,65009,393610.6875
NonResidential,Hotel,Seattle,WA,98101.0,7,DOWNTOWN,47.60809,-122.33212,1980,33,258352,4075083.0
NonResidential,Hotel,Seattle,WA,98101.0,7,DOWNTOWN,47.60755,-122.33244,1922,11,66990,1123203.125
Nonresidential COS,Other,Seattle,WA,98154.0,7,DOWNTOWN,47.60649,-122.33297,2004,11,355000,5231916.0
NonResidential,Other,Seattle,WA,98104.0,7,DOWNTOWN,47.60546,-122.33279,1930,6,103911,1305354.125
NonResidential,Hotel,Seattle,WA,98104.0,7,DOWNTOWN,47.60681,-122.33078,1983,28,331281,6220773.0
NonResidential,Mixed Use Property,Seattle,WA,98104.0,7,DOWNTOWN,47.60515,-122.33159,1907,5,57452,1103397.125
NonResidential,Hotel,Seattle,WA,98104.0,7,DOWNTOWN,47.60376,-122.33194,1916,10,104352,1731644.125
NonResidential,Other,Seattle,WA,98104.0,7,DOWNTOWN,47.60265,-122.33051,1916,10,540360,7138872.5
NonResidential,Other,Seattle,WA,98104.0,3,DOWNTOWN,47.60378,-122.32842,1985,19,385274,5351014.5
SPS-District K-12,K-12 School,Seattle,WA,98118.0,2,SOUTHEAST,47.54576,-122.26853,1961,2,56228,274605.9063
NonResidential,Hotel,Seattle,WA,98105.0,4,NORTHEAST,47.65959,-122.31755,2001,6,58006,664194.375
NonResidential,University,Seattle,WA,98121.0,7,DOWNTOWN,47.61816,-122.33629,1928,7,126593,1362096.75
NonResidential,Other,Seattle,WA,98101.0,7,DOWNTOWN,47.615,-122.33081,1930,2,67224,384008.3125
NonResidential,Hotel,Seattle,WA,98101.0,7,EAST,47.61301,-122.32929,1991,8,128375,167733.5
NonResidential,Hotel,Seattle,WA,98101.0,7,DOWNTOWN,47.61784,-122.32966,2001,10,133585,1644403.75
SPS-District K-12,K-12 School,Seattle,WA,98112.0,3,Central,47.62266,-122.30547,1955,1,126351,0.0
NonResidential,Hotel,Seattle,WA,98121.0,7,DOWNTOWN,47.61558,-122.34186,1978,5,52210,687675.625
SPS-District K-12,K-12 School,Seattle,WA,98125.0,5,NORTH,47.70994,-122.29301,1949,2,160645,570809.1875
SPS-District K-12,K-12 School,Seattle,WA,98109.0,7,MAGNOLIA / QUEEN ANNE,47.6329,-122.35172,1989,2,51582,438691.6875
NonResidential,Small- and Mid-Sized Office,Seattle,WA,98070.0,4,LAKE UNION,47.6641,-122.33118,1906,3,87262,396495.6875
NonResidential,Hotel,Seattle,WA,98105.0,4,NORTHEAST,47.66583,-122.29965,1994,4,81871,884056.0
NonResidential,Self-Storage Facility,Seattle,WA,98105.0,4,NORTHEAST,47.66172,-122.29598,1955,2,110356,82434.0
Campus,Mixed Use Property,Seattle,WA,98108.0,2,GREATER DUWAMISH,47.53493,-122.31788,1992,3,494835,44102076.0
NonResidential,Warehouse,Seattle,WA,98118.0,2,GREATER DUWAMISH,47.51138,-122.28875,1961,2,714095,13109951.0
SPS-District K-12,K-12 School,Seattle,WA,98199.0,7,MAGNOLIA / QUEEN ANNE,47.65671,-122.39047,1990,2,54986,356855.0
SPS-District K-12,K-12 School,Seattle,WA,98115.0,4,NORTHEAST,47.68252,-122.29498,1950,2,175565,468840.5
NonResidential,Small- and Mid-Sized Office,Seattle,WA,98107.0,6,BALLARD,47.66587,-122.38476,1961,2,94900,1257791.75
NonResidential,Small- and Mid-Sized Office,Seattle,WA,98144.0,2,GREATER DUWAMISH,47.58034,-122.31132,1900,2,52554,462998.0
NonResidential,K-12 School,Seattle,WA,98103.0,6,NORTHWEST,47.68891,-122.33553,1954,3,175015,785386.6875
NonResidential,Self-Storage Facility,Seattle,WA,98121.0,7,DOWNTOWN,47.61351,-122.35129,1911,3,70586,439691.9063
NonResidential,Hotel,Seattle,WA,98101.0,7,DOWNTOWN,47.60946,-122.33337,1969,24,126240,3576906.75
NonResidential,Large Office,Seattle,WA,98101.0,7,DOWNTOWN,47.6113,-122.33659,1973,5,168115,2794888.75
NonResidential,Other,Seattle,WA,98101.0,7,DOWNTOWN,47.61076,-122.33765,1920,2,57428,209536.5938
NonResidential,Small- and Mid-Sized Office,Seattle,WA,98101.0,7,DOWNTOWN,47.61048,-122.33794,1910,8,59400,1486510.375
NonResidential,Mixed Use Property,Seattle,WA,98101.0,7,DOWNTOWN,47.60886,-122.33744,1926,2,52549,1357696.125
NonResidential,Hotel,Seattle,WA,98101.0,7,DOWNTOWN,47.61233,-122.33432,1930,20,88591,1257344.25
NonResidential,Hotel,Seattle,WA,98101.0,7,DOWNTOWN,47.61087,-122.33339,1982,34,847518,13348631.0
NonResidential,Hotel,Seattle,WA,98101.0,7,DOWNTOWN,47.60997,-122.34138,1985,7,71150,950732.8125
NonResidential,Hotel,Seattle,WA,98101.0,7,DOWNTOWN,47.61155,-122.34114,1908,7,122810,379121.0938
NonResidential,Hotel,Seattle,WA,98109.0,7,LAKE UNION,47.61986,-122.34413,1959,5,70627,863036.3125
NonResidential,Hotel,Seattle,WA,98109.0,7,LAKE UNION,47.62001,-122.34274,2000,7,115718,995342.5
NonResidential,Hotel,Seattle,WA,98109.0,7,LAKE UNION,47.62025,-122.34314,1997,6,88100,934483.3125
NonResidential,Hotel,Seattle,WA,98119.0,7,MAGNOLIA / QUEEN ANNE,47.62023,-122.35951,1998,6,118858,1336148.125
NonResidential,K-12 School,Seattle,WA,98136.0,3,EAST,47.63442,-122.30793,1911,3,56072,161743.0938
NonResidential,Hotel,Seattle,WA,98109.0,7,MAGNOLIA / QUEEN ANNE,47.62519,-122.34456,1999,4,78051,710354.5
NonResidential,Small- and Mid-Sized Office,Seattle,WA,98122.0,3,CENTRAL,47.60823,-122.30956,1962,2,54984,579786.0
NonResidential,Senior Care Community,Seattle,WA,98126.0,1,SOUTHWEST,47.55837,-122.37751,1922,5,217603,3465642.5
NonResidential,Senior Care Community,Seattle,WA,98133.0,5,NORTHWEST,47.72426,-122.35599,1970,2,93397,1664565.75
NonResidential,Hotel,Seattle,WA,98109.0,7,LAKE UNION,47.61988,-122.33211,2008,6,63371,824351.625
SPS-District K-12,K-12 School,Seattle,WA,98146.0,1,SOUTHWEST,47.5097,-122.37759,1948,2,53352,176088.0938
NonResidential,Medical Office,Seattle,WA,98122.0,3,EAST,47.61244,-122.3214,1965,3,179014,2897562.75
NonResidential,Hotel,Seattle,WA,98104.0,3,EAST,47.60898,-122.32693,1908,7,76631,779819.0
NonResidential,Mixed Use Property,Seattle,WA,98104.0,3,EAST,47.60845,-122.32637,1983,6,90439,2973421.25
NonResidential,Retail Store,Seattle,WA,98109.0,7,LAKE UNION,47.62237,-122.33805,1929,2,58320,106038.5
NonResidential,Large Office,Seattle,WA,98109.0,7,LAKE UNION,47.62424,-122.33646,2010,5,316306,3772301.0
NonResidential,Hotel,Seattle,WA,98109.0,3,LAKE UNION,47.62642,-122.33325,1990,7,238097,3218245.0
Nonresidential COS,Other,Seattle,WA,98109.0,7,MAGNOLIA / QUEEN ANNE,47.62208,-122.35398,1962,1,389000,4226010.0
Nonresidential COS,Other,Seattle,WA,98109.0,7,MAGNOLIA / QUEEN ANNE,47.62208,-122.35398,1962,1,91213,1100268.125
Nonresidential COS,Other,Seattle,WA,98109.0,7,MAGNOLIA / QUEEN ANNE,47.62208,-122.35398,1938,5,396085,2125534.75
NonResidential,Large Office,Seattle,WA,98109.0,7,LAKE UNION,47.62112,-122.33629,2010,12,571329,9439097.0
Nonresidential COS,Other,Seattle,WA,98109.0,7,MAGNOLIA / QUEEN ANNE,47.62395,-122.35077,1962,2,52000,379058.9063
Nonresidential COS,Other,Seattle,WA,98109.0,7,MAGNOLIA / QUEEN ANNE,47.62395,-122.35077,1928,1,60696,256724.2969
Nonresidential COS,Other,Seattle,WA,98109.0,7,MAGNOLIA / QUEEN ANNE,47.62395,-122.35143,1928,2,262048,3960341.75
NonResidential,Small- and Mid-Sized Office,Seattle,WA,98109.0,7,MAGNOLIA / QUEEN ANNE,47.62391,-122.34837,1986,2,63888,1221074.25
NonResidential,Large Office,Seattle,WA,98109.0,7,MAGNOLIA / QUEEN ANNE,47.62419,-122.34443,2010,6,616891,8088294.5
NonResidential,Small- and Mid-Sized Office,Seattle,WA,98033.0,7,MAGNOLIA / QUEEN ANNE,47.62053,-122.35842,1970,4,50283,863039.875
NonResidential,Hotel,Seattle,WA,98109.0,7,MAGNOLIA / QUEEN ANNE,47.62291,-122.35708,2002,6,59976,772863.625
NonResidential,Hotel,Seattle,WA,98105.0,4,NORTHEAST,47.65772,-122.31756,1962,4,50017,623770.6875
SPS-District K-12,K-12 School,Seattle,WA,98106.0,1,DELRIDGE,47.5636,-122.358,1999,3,74468,497706.8125
NonResidential,K-12 School,Seattle,WA,98112.0,3,EAST,47.62548,-122.30828,1923,3,67743,392082.5938
NonResidential,K-12 School,Seattle,WA,98112.0,3,EAST,47.62644,-122.30429,1908,6,194104,553309.6875
NonResidential,Small- and Mid-Sized Office,Seattle,WA,98144.0,3,SOUTHEAST,47.58408,-122.30125,2003,3,63681,1435451.25
SPS-District K-12,K-12 School,Seattle,WA,98144.0,2,SOUTHEAST,47.57324,-122.29058,1991,2,58933,687906.875
SPS-District K-12,K-12 School,Seattle,WA,98108.0,2,GREATER DUWAMISH,47.56413,-122.31208,1957,1,130862,663194.5
SPS-District K-12,K-12 School,Seattle,WA,98118.0,2,SOUTHEAST,47.55478,-122.27596,1989,3,59955,420989.4063
SPS-District K-12,K-12 School,Seattle,WA,98119.0,7,MAGNOLIA / QUEEN ANNE,47.63683,-122.35896,1964,2,93218,435743.8125
NonResidential,Other,Seattle,WA,98115.0,4,NORTHEAST,47.67524,-122.31534,1941,4,56521,1863315.125
NonResidential,Other,Seattle,WA,98115.0,4,NORTHEAST,47.67559,-122.31769,1929,2,206934,586489.8125
NonResidential,Hotel,Seattle,WA,98133.0,5,NORTHWEST,47.73141,-122.3458,2001,4,51390,409815.0
SPS-District K-12,K-12 School,Seattle,WA,98133.0,5,NORTHWEST,47.72463,-122.35315,1963,2,131013,520365.6875
SPS-District K-12,K-12 School,Seattle,WA,98133.0,5,NORTHWEST,47.7257,-122.33684,1959,1,245587,1150648.125
NonResidential,Hotel,Seattle,WA,98133.0,5,NORTHWEST,47.72551,-122.3423,2002,3,69138,528396.6875
SPS-District K-12,K-12 School,Seattle,WA,98103.0,6,LAKE UNION,47.65464,-122.34912,1991,3,66588,616730.8125
NonResidential,Hotel,Seattle,WA,98104.0,7,DOWNTOWN,47.6048,-122.3368,1904,5,190980,1290419.25
Nonresidential COS,Other,Seattle,WA,98111.0,7,DOWNTOWN,47.60804,-122.3367,1998,6,284100,2873101.25
NonResidential,Hospital,Seattle,WA,98107.0,6,BALLARD,47.66737,-122.37956,1954,5,285333,10327434.0
SPS-District K-12,K-12 School,Seattle,WA,98107.0,6,Ballard,47.6706,-122.36225,1991,2,55513,443602.1875
Nonresidential COS,Other,Seattle,WA,98104.0,2,DOWNTOWN,47.60112,-122.32785,2006,4,61156,2036128.25
NonResidential,Other,Seattle,WA,98104.0,2,DOWNTOWN,47.59809,-122.32283,1910,4,59000,384428.3125
